idPoPs,idPoPsConectado,velocidade,unidadeMedida
47,63,1,G
23,31,10,G
50,55,155,M
48,66,1,G
73,77,5,G
72,79,5,G
72,73,10,G
16,17,10,G
31,94,100,G
47,51,1,G
76,77,5,G
73,75,10,G
55,56,155,M
13,18,3,G
52,61,1,G
76,103,5,G
6,8,10,G
17,24,1,G
72,88,1,G
34,55,2,G
73,98,10,G
74,92,5,G
76,94,10,G
90,96,155,M
48,58,1,G
48,65,1,G
48,64,1,G
53,54,155,M
10,17,10,G
75,76,10,G
31,93,100,G
92,98,5,G
15,16,10,G
5,11,200,M
4,23,10,G
107,108,10,G
17,26,20,G
91,95,10,G
102,103,10,G
81,89,155,M
57,58,301,M
5,27,20,M
30,31,3,G
32,45,1,G
6,17,10,G
46,57,1,G
18,19,3,G
78,84,10,G
5,10,10,G
78,87,1,G
105,106,5,G
81,83,10,G
5,6,10,G
29,30,3,G
45,56,1,G
91,96,5,G
3,4,10,G
81,91,10,G
70,102,5,G
72,74,10,G
36,53,4,G
33,50,1,G
14,15,10,G
78,94,10,G
2,7,10,G
46,60,1,G
69,71,5,G
69,70,5,G
81,82,10,G
5,28,20,M
9,10,10,G
99,108,10,G
7,8,10,G
39,41,7,G
81,84,10,G
51,58,301,M
77,94,5,G
41,54,155,M
6,31,10,G
104,105,5,G
13,21,3,G
37,68,5,G
44,58,1,G
12,13,3,G
73,74,5,G
93,103,10,G
42,44,4,G
101,103,3,G
49,58,1,G
14,21,3,G
69,73,5,G
91,92,5,G
52,53,205,M
22,29,3,G
48,67,1,G
17,25,4,G
14,17,10,G
73,86,3,G
93,94,10,G
1,22,3,G
8,9,10,G
85,103,1,G
56,57,205,M
72,99,10,G
69,99,3,G
47,62,1,G
69,103,3,G
43,58,1,G
43,49,1,G
48,68,1,G
77,78,5,G
82,91,10,G
12,20,3,G
78,98,5,G
1,3,10,G
35,45,3,G
96,97,5,G
86,99,3,G
97,98,5,G
51,52,205,M
46,59,1,G
24,49,100,G
84,98,10,G
38,54,6,G
73,85,1,G
